poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
21.6,1272.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.8,1269.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.0,1279.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.2,1259.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.4,1228.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.6,1246.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.8,1168.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.0,1164.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.2,1070.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.4,1022.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.6,971.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.8,951.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.0,910.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.2,891.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.4,835.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.6,819.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.8,783.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.0,718.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.2,653.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.4,632.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.6,601.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.8,542.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.0,528.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.2,456.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.4,417.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.6,397.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.8,362.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.0,311.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.2,312.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.4,256.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.6,252.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.8,223.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.0,201.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.2,169.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.4,161.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.6,144.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.8,122.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.0,119.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.2,97.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.4,86.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.6,72.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.8,50.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.0,49.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.2,45.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.4,44.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.6,34.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.8,31.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.0,16.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.2,17.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.4,8.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.6,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
31.8,4.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.0,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.4,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
32.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
33.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
34.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
35.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
36.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
37.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
38.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
39.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
39.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
39.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
39.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
39.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
56.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
56.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
56.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
56.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
56.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
57.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
57.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
57.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
57.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
57.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
58.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
58.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
58.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
58.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
58.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
59.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
59.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
59.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
59.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
59.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
60.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
60.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
60.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
60.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
60.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
61.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
61.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
61.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
61.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
61.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
62.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
62.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
62.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
62.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
62.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
63.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
63.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
63.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
63.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
63.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
64.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
64.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
64.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
64.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
64.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
65.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
65.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
65.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
65.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
65.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
66.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
66.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
66.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
66.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
66.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
67.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
67.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
67.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
67.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
67.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
68.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
68.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
68.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
68.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
68.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
69.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
69.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
69.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
69.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
69.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
70.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
70.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
70.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
70.6,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
70.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
